domain,type,org,city,state
waldo-township-il.gov,City,Waldo Township,Gridley,IL
gurneeil.gov,City,Village of Gurnee,Gurnee,IL
hamiltonil.gov,City,City of Hamilton,Hamilton,IL
calhouncountyil.gov,County,Calhoun County Illnois,Hardin,IL
chemungtownshipil.gov,County,Chemung Township,Harvard,IL
harvardil.gov,City,City of Harvard,Harvard,IL
cityofharveyil.gov,City,City of Harvey,Harvey,IL
havanail.gov,City,City of Havana,Havana,IL
masoncountyil.gov,County,Mason County,havana,IL
putnamil.gov,County,Putnam County,Hennepin,IL
heyworth-il.gov,City,Village of Heyworth,Heyworth,IL
grantforkil.gov,City,Grantfork Police Department,Highland,IL
highlandil.gov,City,City Of Highland Illinois,Highland,IL
hillsboroil.gov,City,City of Hillsboro,Hillsboro,IL
montgomerycountyhealthil.gov,County,Montgomery County Health Department,Hillsboro,IL
montgomerycountyil.gov,County,"County of Montgomery, Il",Hillsboro,IL
hillside-il.gov,City,Village of Hillside,Hillside,IL
provisotownship.gov,City,Proviso Township,Hillside,IL
hinckleyil.gov,City,Village of Hinckley,Hinckley,IL
homerglenil.gov,City,Village of Homer Glen,Homer Glen,IL
homewoodil.gov,City,Village of Homewood,Homewood,IL
southland911il.gov,Special district,Southland Communications Center,Homewood,IL
villageofhoyleton.gov,City,Village of Hoyleton,Hoyleton,IL
indianheadpark-il.gov,City,Village of Indian Head Park,Indian Head Park,IL
inverness-il.gov,City,Village of Inverness,Inverness,IL
islandlakeil.gov,City,Village of Island Lake,Island Lake,IL
jacksonvilleil.gov,City,CIty of Jacksonville,Jacksonville,IL
morgancounty-il.gov,County,Morgan County Illinois,Jacksonville,IL
jerseycounty-il.gov,County,Jersey County Government,Jerseyville,IL
il12thcourt.gov,Special district,Illinois 12th Circuit Court,Joliet,IL
joliet.gov,City,City of Joliet,Joliet,IL
lccwillcounty.gov,County,County of Will,Joliet,IL
willcounty.gov,County,County of Will,Joliet,IL
willcounty911.gov,County,Will County 911 Emergency Telephone System Board,Joliet,IL
willcountysao.gov,County,Will County States Attorney Office,Joliet,IL
willcountysheriff.gov,County,Will County Sheriff's Office,Joliet,IL
unioncountyil.gov,County,Union County,Jonesboro,IL
unioncountyilcourts.gov,County,Union County - Circuit Clerk,Jonesboro,IL
justiceparkdistrictil.gov,Special district,Justice Park District,Justice,IL
robertsparkfire.gov,Special district,Roberts Park Fire Protection District,Justice,IL
citykankakee-il.gov,City,City of Kankakee IL,Kankakee,IL
kankakeecountyil.gov,County,Kankakee County,Kankakee,IL
kankakeecountytreasurer.gov,County,Kankakee County Treasurer,KANKAKEE,IL
kansasillinois.gov,City,Village of Kansas,Kansas,IL
hainesil.gov,City,Haines Township,Kell,IL
knoxvillepdil.gov,City,KNOXVILLE POLICE DEPARTMENT,KNOXVILLE,IL
lagrangeil.gov,City,Village of La Grange,La Grange,IL
marshallcountyillinois.gov,County,County of Marshall,Lacon,IL
villageoflakevilla.gov,City,"Village of Lake Villa, Illinois",Lake Villa,IL
elaassessor.gov,City,Ela Township Assessor,Lake Zurich,IL
elatownship.gov,City,Ela Township,Lake Zurich,IL
lanarkil.gov,City,City of Lanark,Lanark,IL
lasalle-il.gov,City,"LaSalle, Illinois",LaSalle,IL
leroyil.gov,City,"City of Le Roy, IL",Le Roy,IL
villageoflenail.gov,City,Village of Lena,Lena,IL
cityoflewistownil.gov,City,City of Lewistown Illinois,Lewistown,IL
fultoncountyil.gov,County,Fulton County Illinois,Lewistown,IL
lexingtonil.gov,City,City of Lexington,Lexington,IL
slmadil.gov,Special district,The South Lake Mosquito Abatement District,Libertyville,IL
lincolnil.gov,City,City of Lincoln,Lincoln,IL
logancountyil.gov,County,Logan County,Lincoln,IL
sheriffloganil.gov,County,Logan County Sheriff's Office,Lincoln,IL
lincolnshirefdil.gov,Special district,Lincolnshire-Riverwoods Fire Protection District,Lincolnshire,IL
lincolnshireil.gov,City,Village of Lincolnshire,Lincolnshire,IL
hanafordil.gov,City,Village of Hanaford,Logan,IL
londonmillsil.gov,City,Village of London Mills,London Mills,IL
longgroveil.gov,City,Village of Long Grove,Long Grove,IL
villageoflynwood.gov,City,Village of Lynwood,Lynwood,IL
mackinawil.gov,City,Village of Mackinaw,Mackinaw,IL
mahomet-il.gov,City,Village of Mahomet,Mahomet,IL
marineil.gov,City,Village of Marine,Marine,IL
cityofmarionil.gov,City,City of Marion,Marion,IL
marionilpd.gov,City,Marion Police Department,Marion,IL
williamsoncountyema-il.gov,County,Williamson County Emergency Management Agency,Marion,IL
williamsoncountyil.gov,County,Williamson County Government,Marion,IL
marissapd.gov,City,Marissa Police Department,Marissa,IL
maroaillinois.gov,City,City of Maroa,Maroa,IL
clarkcountyilsheriff.gov,County,Clark County Sheriff's Office,Marshall,IL
marshall-il.gov,City,City of Marshall,Marshall,IL
cityofmascoutah.gov,City,City of Mascoutah,Mascoutah,IL
mattoontownship.gov,City,MATTOON TOWNSHIP OFFICE,Mattoon,IL
maywood-il.gov,City,Village of Maywood Illinois,Maywood,IL
hamiltoncountyil.gov,County,Hamilton County,McLeansboro,IL
massaccountyil.gov,County,Massac County,Metropolis,IL
metropolisil.gov,City,City of Metropolis,Metropolis,IL
milledgevilleil.gov,City,Village of Milledgeville,Milledgeville,IL
mokena.gov,City,Village of Mokena,Mokena,IL
kmli-il.gov,Special district,Metropolitan Airport Authority of Rock Island County IL,Moline,IL
villageofmonee.gov,City,Village Of Monee,Monee,IL
cityofmonmouthil.gov,City,City of Monmouth,Monmouth,IL
warrencountyil.gov,County,Warren County,Monmouth,IL
piatt.gov,County,Piatt County Government,Monticello,IL
piattsheriff.gov,County,Piatt County Sheriff Office,Monticello,IL
grundy911-il.gov,County,Grundy County Emergency Telephone System Board (ETSB),Morris,IL
grundycountyil.gov,County,Grundy County IL,Morris,IL
grundyilso.gov,County,Grundy County Sheriff's Office,Morris,IL
whitesidecountyil.gov,County,Whiteside County IT,Morrison,IL
morton-il.gov,City,"City of Morton, IL",Morton,IL
carrollcountyil.gov,County,Carroll County,Mount Carroll,IL
mountcarrollil.gov,City,City of Mount Carroll,Mount Carroll,IL
shilohtownshipil.gov,City,Shiloh Township,Mount Vernon,IL
browncoil.gov,County,Brown County Illinois,Mt Sterling,IL
mundelein-il.gov,City,Village of Mundelein,Mundelein,IL
jacksoncoilcircuitclerk.gov,County,Jackson County Circuit Clerk,Murphysboro,IL
jacksoncoilcourts.gov,County,Jackson County Illinois Court,Murphysboro,IL
jacksoncounty-il.gov,County,"Jackson County, Illinois",Murphysboro,IL
murphysboro-il.gov,City,City of Murphysboro,Murphysboro,IL
naperville.gov,City,City of Naperville,Naperville,IL
cityofnauvooil.gov,City,City of Nauvoo,Nauvoo,IL
prairiedulongil.gov,County,Prairie Du Long Township,New Athens,IL
newwindsoril.gov,City,Village of Windsor,New Windsor,IL
jaspercountyillinois.gov,County,County of Jasper,Newton,IL
nilesil.gov,City,Village of Niles,Niles,IL
normalil.gov,City,Town of Normal,Normal,IL
norridge-il.gov,City,Village of Norridge,Norridge,IL
westcentral911-il.gov,Special district,West Central Consolidated Communications,North Riverside,IL
northbrookil.gov,City,Village of Northbrook,Northbrook,IL
nsmadil.gov,Special district,North Shore Mosquito Abatement District,Northfield,IL
ofallonil.gov,City,"City of O'Fallon, Illinois",O'Fallon,IL
oak-brook-il.gov,City,Village of Oak Brook,Oak Brook,IL
oaklawn-il.gov,City,Village of Oak Lawn,Oak Lawn,IL
oglesbyil.gov,City,City of Oglesby,Oglesby,IL
okawville.gov,City,VILLAGE OF OKAWVILLE,OKAWVILLE,IL
okawvillepd.gov,City,Okawville Police Department,Okawville,IL
hendersoncountyil.gov,County,Henderson County,Oquawka,IL
oglecountyil.gov,County,Ogle County,Oregon,IL
oregonil.gov,City,City of Oregon,Oregon,IL
orlandhillspdil.gov,City,Orland Hills Police Dept.,Orland Hills,IL
oswegoil.gov,City,Village of Oswego,Oswego,IL
cityofottawail.gov,City,City of Ottawa,Ottawa,IL
lasallecountyil.gov,County,LaSalle County,ottawa,IL
palatineil.gov,City,Village of Palatine,Palatine,IL
palatinetownship-il.gov,City,Palatine Township,Palatine,IL
villageofpalmyrailmacoupin.gov,City,village of palmyra,palmyra,IL
paloshills-il.gov,City,City of Palos Hills,Palos Hills,IL
edgarcountyillinois.gov,County,County of Edgar,Paris,IL
parkforest-il.gov,City,Village of Park Forest,Park Forest,IL
villageofparkforest-il.gov,City,Village of Park Forest,Park Forest,IL
pekinil.gov,City,City of Pekin,Pekin,IL
pekinpd.gov,City,Pekin Police Department,Pekin,IL
tazewell-il.gov,County,Tazewell County,Pekin,IL
tazewellcountyjury.gov,County,Tazewell County Circuit Clerk,Pekin,IL
eastpeoriapdil.gov,City,City of East Peoria,Peoria,IL
peoriacounty.gov,County,Peoria County,Peoria,IL
peoriail.gov,City,City of Peoria,Peoria,IL
peoriaparks-il.gov,Special district,"Pleasure Driveway and Park District of Peoria, IL DBA Peoria Park District",Peoria,IL
peotonetownship.gov,City,Peotone Township,Peotone,IL
peruil.gov,City,City of Peru,Peru,IL
menardcountyil.gov,County,"Menard County, Illinois",Petersburg,IL
perrycountyil.gov,County,Perry County,Pinckneyville,IL
corinthwaterdistrictil.gov,Special district,Corinth Water District,Pittsburg,IL
pikecountyil.gov,County,County of Pike,Pittsfield,IL
plainfieldil.gov,City,Village of Plainfield,Plainfield,IL
cityofplanoil.gov,City,City of Plano,Plano,IL
planopoliceil.gov,City,City of Plano,Plano,IL
poloil.gov,City,City of Polo,Polo,IL
livingstoncountyil.gov,County,Livingston County,Pontiac,IL
poplargrove-il.gov,City,Village of Poplar Grove,Poplar Grove,IL
bureaucounty-il.gov,County,Bureau County,Princeton,IL
adamscountyil.gov,County,"Adams County, IL",Quincy,IL
quincyil.gov,City,City of Quincy,Quincy,IL
richmondil.gov,City,"Village of Richmond, IL",Richmond,IL
rivergroveil.gov,City,Village of River Grove,River Grove,IL
riversideil.gov,City,Village of Riverside,Riverside,IL
riverwoods.gov,City,Village of Riverwoods,Riverwoods,IL
rochestertwpil.gov,City,Rochester Township,Rochester,IL
rockfallsil.gov,City,City of Rock Falls,Rock Falls,IL
rockislandcountyil.gov,County,County of Rock Island,Rock Island,IL
rockislandtownshipil.gov,City,Rock Island Township,Rock Island,IL
rockfordil.gov,City,City of Rockford,Rockford,IL
rockfordtownshipil.gov,City,Rockford Township,Rockford,IL
wincoil.gov,County,Winnebago County,Rockford,IL
rocktonil.gov,City,Village of Rockton,Rockton,IL
rocktontownshipil.gov,City,Rockton Township,Rockton,IL
roscoeil.gov,City,Village of Roscoe,Roscoe,IL
roundlakeil.gov,City,Village of Round Lake,Round Lake,IL
roundlakebeachil.gov,City,Village of Round Lake Beach,Round Lake Beach,IL
schuylercountyil.gov,County,Schuyler County,Rushville,IL
camptontownshipil.gov,City,CAMPTON TOWNSHIP,SAINT CHARLES,IL
lilylakeil.gov,City,Village of Lily Lake,SAINT CHARLES,IL
buckheartfire.gov,Special district,Buckheart Township Fire Protection District,Saint David,IL
marioncounty911illinois.gov,County,Marion County ETSB,Salem,IL
marioncountyil.gov,County,Marion County Board,Salem,IL
sauget.gov,City,Village of Sauget,Sauget,IL
cityofsavannail.gov,City,City of Savanna,Savanna,IL
umripd.gov,Special district,Upper Mississippi River International Port District,Savanna,IL
schaumburgil.gov,City,Village of Schaumburg,Schaumburg,IL
seatonville.gov,City,Village of Seatonville,Seatonville,IL
senecail.gov,City,Village of Seneca,Seneca,IL
senecailpd.gov,City,Seneca Police Department,Seneca,IL
shannonillinois.gov,City,"Village of Shannon, Illinois",Shannon,IL
shelbycounty-il.gov,County,Shelby County,Shelbyville,IL
sheridanil.gov,City,Village of Sheridan,Sheridan,IL
shorewoodil.gov,City,Village of Shorewood,Shorewood,IL
skokie.gov,City,Village of Skokie,Skokie,IL
swa-il.gov,Special district,Southland Water Agency,South Holland,IL
southjacksonville-il.gov,City,Village of South Jacksonville,South Jacksonville,IL
springvalleyil.gov,City,"City of Spring Valley, Illinois",Spring Valley,IL
sangamonil.gov,County,Sangamon County,Springfield,IL
villageofgrandview.gov,City,Village of Grandview,Springfield,IL
stcharlesil.gov,City,City of St. Charles,St. Charles,IL
sterling-il.gov,City,"City of Sterling, Illinois",Sterling,IL
sugargroveil.gov,City,Village of Sugar Grove,Sugar Grove,IL
moultriecountyil.gov,County,Moultrie County Courthouse,Sullivan,IL
dekalbcountyclerkil.gov,County,DeKalb County Clerk & Recorder,Sycamore,IL
christiancountyil.gov,County,CHRISTIAN COUNTY,TAYLORVILLE,IL
christiancountysheriffil.gov,County,Christian County Illinois Sheriff's Office,Taylroville,IL
thomasboro.gov,City,Village of Thomasboro,Thomasboro,IL
tiskilwa.gov,City,Village of Tiskilwa,Tiskilwa,IL
cumberlandcoil.gov,County,Cumberland County,Toledo,IL
towerlakes-il.gov,City,Village of Tower Lakes,Tower Lakes,IL
towerlakespoliceil.gov,City,Tower Lakes Police Department,Tower Lakes,IL
tremontil.gov,City,Village of Tremont,Tremont,IL
douglascountyil.gov,County,"Douglas County, IL",Tuscola,IL
pulaskicountyil.gov,County,Pulaski County Detention Center,Ullin,IL
cfpd-il.gov,Special district,Carroll Fire Protection District,Urbana,IL
champaigncountyil.gov,County,Champaign County,Urbana,IL
metcad911il.gov,Special district,METCAD 911,Urbana,IL
urbanail.gov,City,"City of Urbana, Illinois",Urbana,IL
utica-il.gov,City,Village of North Utica,Utica,IL
valmeyerfd.gov,Special district,Valmeyer Fire Protection District,Valmeyer,IL
fayettecountyillinois.gov,County,Fayette County,Vandalia,IL
villaparkil.gov,City,Village of Villa Park,Villa Park,IL
villageofvirgil.gov,City,"Village of Virgil, Illinois",Virgil,IL
casscountyil.gov,County,Cass County Clerk,Virginia,IL
cityofvirginiail.gov,City,City of Virginia,Virginia,IL
villageofwarrenil.gov,City,Village of Warren,Warren,IL
monroecountyil.gov,County,Monroe County Courthouse,Waterloo,IL
clintontownship-il.gov,City,Clinton Township,Waterman,IL
iroquoiscountyil.gov,County,Iroquois County,Watseka,IL
wauconda-il.gov,City,Village of Wauconda,Wauconda,IL
lakecountyil.gov,County,Lake County,Waukegan,IL
skokiescdd.gov,Special district,Skokie Consolidated Drainage District,Waukegan,IL
waukeganil.gov,City,City of Waukegan,Waukegan,IL
weldonil.gov,City,Village of Weldon,Weldon,IL
dupageairport.gov,Special district,DuPage Airport Authority,West Chicago,IL
westfrankfort-il.gov,City,City of West Frankfort,West Frankfort,IL
villageofwestpoint.gov,City,Village of West Point,West Point,IL
westchester-il.gov,City,Village of Westchester,Westchester,IL
westvilleil.gov,City,Village of Westville,Westville,IL
211dupage.gov,County,DuPage County,Wheaton,IL
dupagecircuitclerk.gov,County,DuPage County Circuit Court Clerk,Wheaton,IL
dupagecounty.gov,County,DuPage County,Wheaton,IL
dupagecourts.gov,County,18th Judicial Circuit,Wheaton,IL
dupageresults.gov,Special district,DuPage County Clerk,Wheaton,IL
dupagesheriff.gov,County,DuPage County Sheriff's Office,Wheaton,IL
wmadil.gov,Special district,Wheaton Mosquito Abatement District,Wheaton,IL
nwmadil.gov,Special district,Northwest Mosquito Abatement District,Wheeling,IL
wheelingil.gov,City,Village of Wheeling,Wheeling,IL
williamsfieldil.gov,City,Village of Williamsfield,Williamsfield,IL
williamsvilleil.gov,City,Village of Williamsville,Williamsville,IL
willowsprings-il.gov,City,"Village of Willow Springs, Illinois",Willow Springs,IL
wilmette.gov,City,Village of Wilmette,Wilmette,IL
wilmington-il.gov,City,City of Wilmington,Wilmington,IL
scottcoil.gov,County,Scott County Illinois,Winchester,IL
winnebagoil.gov,City,Village of Winnebago,Winnebago,IL
greenwoodtownshipil.gov,City,Greenwood Township,Wonder Lake,IL
cityofwooddaleil.gov,City,City of Wood Dale,Wood Dale,IL
woodridgeil.gov,City,Village of Woodridge,Woodridge,IL
22ndcircuitil.gov,County,"22nd Judicial Circuit McHenry County, IL",Woodstock,IL
greenmchenrycountyil.gov,County,McHenry County Government Center,Woodstock,IL
greenmchenrycountyillinois.gov,County,McHenry County Government Center,Woodstock,IL
mchenrycountyil.gov,County,McHenry County Government Center,Woodstock,IL
readymchenrycountyil.gov,County,McHenry County Government Center,Woodstock,IL
readymchenrycountyillinois.gov,County,McHenry County Government Center,Woodstock,IL
resumemchenrycountyil.gov,County,County of McHenry,Woodstock,IL
woodstockil.gov,City,City of Woodstock,Woodstock,IL
cityofwyomingil.gov,City,City of Wyoming,Wyoming,IL
villageofyatescity.gov,City,Village of Yates City,Yates City,IL
kendallcountyil.gov,County,Kendall County,Yorkville,IL
garycommoncouncil.gov,City,City of Gary Common Council,46402,IN
nobleco.gov,County,"Noble County, Indiana",Albion,IN
argosin.gov,City,Town of Argos,Argos,IN
attica-in.gov,City,City of Attica,Attica,IN
avonindiana.gov,City,Town of Avon Indiana,Avon,IN
beechgrove.gov,City,The City of Beech Grove,Beech Grove,IN
blufftonindiana.gov,City,City of Bluffton Indiana,Bluffton,IN
victoriawoodsin.gov,City,Town of Victoria Woods Indiana,Boonville,IN
warrickcounty.gov,County,Warrick County Commissioners,Boonville,IN
bourbon-in.gov,City,Town of Bourbon,Bourbon,IN
claycountyin.gov,County,Clay County Courthouse,Brazil,IN
brownsburg.gov,City,Town of Brownsburg,Brownsburg,IN
townofbunkerhillin.gov,City,Town of Bunker Hill,Bunker Hill,IN
burnettsvillein.gov,City,"Town of Burnettsville, Indiana",Burnettsville,IN
burnsharbor-in.gov,City,Town of Burns Harbor,Burns Harbor,IN
carmelindiana.gov,City,City of Carmel,Carmel,IN
claytwp-hamin.gov,City,Clay Township of Hamilton County,Carmel,IN
cedarlakein.gov,City,Town of Cedar Lake,Cedar Lake,IN
claypoolpolice.gov,City,Claypool Police Department,Claypool,IN
connersvillein.gov,City,City of Connersville,Connersville,IN
corydon-in.gov,City,Town of Corydon,Corydon,IN
crawfordsville-in.gov,City,City of Crawfordsville,Crawfordsville,IN
montgomerycosheriffin.gov,County,Montgomery County Sheriff's Office,Crawfordsville,IN
lakecountyin.gov,County,Lake County Government,Crown Point,IN
danvillein.gov,City,Town of Danville,Danville,IN
hendrickscountyprosecutor.gov,County,Hendricks County Prosecutor Office,Danville,IN
carrollcountyin.gov,County,Carroll County,Delphi,IN
